Freq[Hz]  Imp[Ohm] Phase[Deg]
4305.39     26.82    48.54
4368.01     27.05    48.52
4431.55     27.28    48.52
4496.01     27.54    48.49
4561.40     27.80    48.44
4627.75     28.04    48.37
4695.06     28.28    48.29
4763.35     28.51    48.22
4832.64     28.72    48.19
4902.93     28.94    48.18
4974.24     29.19    48.17
5046.60     29.43    48.17
5120.00     29.69    48.17
5194.47     29.98    48.14
5270.03     30.23    48.09
5346.68     30.49    48.05
5424.45     30.76    48.01
5503.35     31.02    47.96
5583.40     31.26    47.94
5664.61     31.52    47.95
5747.01     31.80    47.97
5830.60     32.11    48.00
5915.41     32.44    48.02
6001.45     32.82    47.99
6088.74     33.21    47.87
6177.30     33.56    47.68
6267.15     33.89    47.47
6358.31     34.20    47.24
6450.80     34.42    47.01
6544.62     34.64    46.86
6639.82     34.85    46.75
6736.40     35.07    46.70
6834.38     35.32    46.68
6933.79     35.60    46.67
7034.64     35.91    46.66
7136.96     36.25    46.62
7240.77     36.60    46.51
7346.09     36.88    46.40
7452.94     37.19    46.32
7561.35     37.51    46.23
7671.33     37.83    46.13
7782.91     38.14    46.03
7896.12     38.46    45.93
8010.97     38.79    45.82
8127.49     39.12    45.70
8245.71     39.40    45.59
8365.65     39.74    45.50
8487.33     40.08    45.40
8610.78     40.42    45.28
8736.03     40.76    45.17
8863.09     41.16    45.01
8992.01     41.47    44.83
9122.80     41.83    44.65
9255.50     42.13    44.45
9390.12     42.44    44.26
9526.70     42.72    44.09
9665.27     43.01    43.93
9805.86     43.29    43.79
9948.49     43.59    43.65
10093.2     43.87    43.51
10240.0     44.16    43.40
10388.9     44.46    43.27
10540.1     44.77    43.15
10693.4     45.07    43.02
10848.9     45.37    42.90
11006.7     45.68    42.77
11166.8     45.98    42.65
11329.2     46.28    42.52
11494.0     46.59    42.40
11661.2     46.89    42.27
11830.8     47.20    42.15
12002.9     47.50    42.03
12177.5     47.80    41.91
12354.6     48.11    41.79
12534.3     48.41    41.68
12716.6     48.71    41.56
12901.6     49.02    41.44
13089.2     49.32    41.33
13279.6     49.63    41.22
13472.8     49.93    41.11
13668.8     50.23    40.99
13867.6     50.54    40.89
14069.3     50.84    40.78
14273.9     51.14    40.67
14481.5     51.45    40.57
14692.2     51.75    40.47
14905.9     52.05    40.36
15122.7     52.36    40.26
15342.7     52.66    40.17
15565.8     52.97    40.07
15792.2     53.27    39.97
16021.9     53.57    39.88
16255.0     53.88    39.79
16491.4     54.18    39.70
16731.3     54.48    39.61
16974.7     54.79    39.53
17221.6     55.09    39.44
17472.1     55.40    39.36
17726.2     55.70    39.28
17984.0     56.00    39.21
18245.6     56.31    39.13
18511.0     56.61    39.06
18780.2     56.91    38.99
19053.4     57.22    38.92
19330.5     57.52    38.86
19611.7     57.83    38.80
19897.0     58.13    38.74
20186.4     58.43    38.69
20480.0     58.74    38.64
20777.9     59.04    38.60
21080.1     59.34    38.56
21386.7     59.65    38.54
21697.8     59.80    38.53
22000.0     59.95    38.52
